Attack_Family,Protocol Type,protocolo,cantidad,total_familia,porcentaje_familia
Benign,0,HOPOPT,31,14087,0.22006104919429262
Benign,1,ICMP,3,14087,0.021296230567189607
Benign,6,TCP,12887,14087,91.48150777312415
Benign,17,UDP,1166,14087,8.27713494711436
BruteForce,6,TCP,143,169,84.61538461538461
BruteForce,17,UDP,26,169,15.384615384615385
DDoS,0,HOPOPT,14,435902,0.0032117310771687213
DDoS,1,ICMP,97936,435902,22.467435340971136
DDoS,6,TCP,264808,435902,60.74943450592106
DDoS,17,UDP,73144,435902,16.77991842203064
DoS,1,ICMP,116,100627,0.11527721188150297
DoS,6,TCP,61228,100627,60.846492492074695
DoS,17,UDP,39283,100627,39.03823029604381
Mirai,0,HOPOPT,5,33788,0.014798153190481828
Mirai,1,ICMP,9,33788,0.02663667574286729
Mirai,6,TCP,174,33788,0.5149757310287676
Mirai,17,UDP,11449,33788,33.88481117556529
Mirai,47,GRE,22151,33788,65.5587782644726
Recon,0,HOPOPT,105,8862,1.1848341232227488
Recon,1,ICMP,9,8862,0.1015572105619499
Recon,6,TCP,7333,8862,82.7465583389754
Recon,17,UDP,1415,8862,15.967050327239901
Spoofing,0,HOPOPT,48,6242,0.768984299903877
Spoofing,1,ICMP,5,6242,0.08010253123998719
Spoofing,6,TCP,4256,6242,68.18327459147709
Spoofing,17,UDP,1933,6242,30.967638577379045
Web-based,0,HOPOPT,1,323,0.30959752321981426
Web-based,6,TCP,249,323,77.08978328173374
Web-based,17,UDP,73,323,22.60061919504644
