apariciones,Label,Protocol Type,Tot size,IAT,Rate,Number
34,DDoS-ICMP_Flood,1,60.0,0.000022,45085.499301,100
33,DDoS-ICMP_Flood,1,60.0,0.000018,56337.192747,100
33,DDoS-ICMP_Flood,1,60.0,0.000019,52219.920319,100
32,DDoS-ICMP_Flood,1,60.0,0.000017,59417.821221,100
32,DDoS-ICMP_Flood,1,60.0,0.000022,45289.968686,100
32,DDoS-UDP_Flood,17,60.0,0.000023,43667.922957,100
31,DDoS-ICMP_Flood,1,60.0,0.000019,53966.855378,100
31,DDoS-ICMP_Flood,1,60.0,0.00002,51256.311866,100
31,DDoS-ICMP_Flood,1,60.0,0.000021,48332.611201,100
31,DDoS-ICMP_Flood,1,60.0,0.000022,45187.502693,100
