Label,Protocol Type,Rate,Tot size,IAT,size_kb,rate_mbps,coef_variacion,total_flags,protocolo_principal,rango_iat
Mirai-greip_flood,47,2109.927612,578.0,0.000475,0.564453,0.00211,0.0,0.0,IPv,medio
Mirai-greip_flood,47,5564.803906,578.0,0.000181,0.564453,0.005565,0.0,0.0,IPv,medio
Mirai-greip_flood,47,1789.707156,564.64,0.00056,0.551406,0.00179,0.137095,0.0,DNS,medio
Mirai-greip_flood,47,2923.022886,578.0,0.0004,0.564453,0.002923,0.0,0.0,IPv,medio
Mirai-greip_flood,47,600.243572,545.88,0.001667,0.533086,0.0006,0.218957,0.0,DNS,alto
Mirai-greip_flood,47,4066.533517,567.78,0.000247,0.554473,0.004067,0.126646,0.02,TCP,medio
Mirai-greip_flood,47,8900.757592,578.0,0.000113,0.564453,0.008901,0.0,0.0,IPv,medio
Mirai-greip_flood,47,4164.2382,578.0,0.00024,0.564453,0.004164,0.0,0.0,IPv,medio
Mirai-greip_flood,47,5179.751775,573.08,0.000194,0.559648,0.00518,0.085852,0.0,DNS,medio
Mirai-greip_flood,47,5205.07812,570.84,0.000192,0.557461,0.005205,0.088243,0.0,UDP,medio
Mirai-greip_flood,47,10183.315529,572.76,0.000098,0.559336,0.010183,0.091487,0.01,TCP,medio
Mirai-greip_flood,47,2709.586227,568.07,0.000369,0.554756,0.00271,0.122992,0.02,HTTPS,medio
Mirai-greip_flood,47,10355.283429,578.0,0.000097,0.564453,0.010355,0.0,0.0,IPv,medio
Mirai-greip_flood,47,8265.778531,578.0,0.000121,0.564453,0.008266,0.0,0.0,IPv,medio
Mirai-greip_flood,47,6009.634204,567.74,0.000166,0.554434,0.00601,0.127145,0.0,ARP,medio
Mirai-greip_flood,47,3124.225518,568.28,0.000322,0.554961,0.003124,0.120417,0.02,HTTPS,medio
Mirai-greip_flood,47,8833.089041,567.83,0.000115,0.554521,0.008833,0.126007,0.0,DNS,medio
Mirai-greip_flood,47,7605.817285,573.43,0.000131,0.55999,0.007606,0.079696,0.0,DNS,medio
Mirai-greip_flood,47,7370.324032,578.0,0.000137,0.564453,0.00737,0.0,0.0,IPv,medio
Mirai-greip_flood,47,4032.596866,578.0,0.000249,0.564453,0.004033,0.0,0.0,IPv,medio
Mirai-greip_flood,47,1986.851916,578.12,0.000505,0.56457,0.001987,0.002076,0.0,ICMP,medio
Mirai-greip_flood,47,2734.565559,562.84,0.000468,0.549648,0.002735,0.154029,0.0,ARP,medio
Mirai-greip_flood,47,6911.827036,578.0,0.000146,0.564453,0.006912,0.0,0.0,IPv,medio
Mirai-greip_flood,47,11189.58489,578.0,0.000091,0.564453,0.01119,0.0,0.0,IPv,medio
Mirai-greip_flood,47,6108.002155,568.09,0.000166,0.554775,0.006108,0.122879,0.02,DNS,medio
Mirai-greip_flood,47,3221.877064,563.2,0.00031,0.55,0.003222,0.155326,0.04,DNS,medio
Mirai-greip_flood,47,4544.454196,563.28,0.00022,0.550078,0.004544,0.149822,0.0,DNS,medio
Mirai-greip_flood,47,13197.935809,578.0,0.000076,0.564453,0.013198,0.0,0.0,IPv,medio
Mirai-greip_flood,47,4686.687376,572.82,0.000215,0.559395,0.004687,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,5256.481145,569.1,0.000192,0.555762,0.005256,0.111523,0.02,TCP,medio
Mirai-greip_flood,47,5741.532059,572.8,0.000176,0.559375,0.005742,0.090782,0.02,TCP,medio
Mirai-greip_flood,47,11724.447923,578.0,0.000085,0.564453,0.011724,0.0,0.0,IPv,medio
Mirai-greip_flood,47,3872.642328,572.82,0.000258,0.559395,0.003873,0.09043,0.0,ARP,medio
