Label,registros,volumen_bytes,media_rate
DDoS-ICMP_Flood,11378,684093.03,104446.758688
DDoS-UDP_Flood,4203,252585.83,106394.162129
DDoS-TCP_Flood,2879,173981.89,108803.964351
DDoS-PSHACK_FLOOD,2545,152814.62,104797.891805
DDoS-RSTFINFLOOD,2536,153580.74,100951.977588
DDoS-SynonymousIP_Flood,2102,126197.25,107941.771506
DDoS-SYN_Flood,1824,111411.720802,114699.216247
DoS-TCP_Flood,1189,72277.34,104930.97967
MITM-ArpSpoofing,468,47701.6,315120.911608
DoS-SYN_Flood,351,21275.12,130298.037877
DNS_Spoofing,119,13751.2,274741.337889
Recon-OSScan,93,7545.4,392228.018871
Recon-PortScan,84,9522.0,402131.378985
Benign,59,6618.5,381344.68231
DoS-UDP_Flood,58,3879.03,105488.435347
VulnerabilityScan,39,3133.2,337476.987848
Recon-HostDiscovery,26,1873.8,344632.916161
DoS-HTTP_Flood,17,1033.75,145988.196587
Mirai-udpplain,15,8310.0,122439.730444
Mirai-greeth_flood,6,3546.68,127667.369653
BrowserHijacking,5,340.8,293807.4887
Mirai-greip_flood,5,2890.0,423999.91814
DDoS-ACK_Fragmentation,4,3890.0,221451.664372
DDoS-ICMP_Fragmentation,4,2991.77,974900.38873
DictionaryBruteForce,2,132.0,483670.377166
DDoS-HTTP_Flood,1,83.12,156737.817638
XSS,1,66.0,270600.258065
