categoria,metrica,valor
poblacion,total_registros,599987
poblacion,total_clases,34
poblacion,clases_de_ataque,33
poblacion,registros_benignos,14085
poblacion,registros_de_ataque,585902
poblacion,pct_registros_benignos,2.347551
poblacion,pct_registros_ataque,97.652449
volumen,volumen_total_bytes,78922573.190802
volumen,volumen_total_mb,75.266431
volumen,paquetes_totales,57290468.0
volumen,tamano_medio_paquete_bytes,1.377586
volumen,tasa_media,28514.482774
comportamiento,media_syn_flag,0.207449
comportamiento,media_ack_flag,0.130512
comportamiento,media_rst_flag,0.093409
comportamiento,media_fin_flag,0.087356
comportamiento,ratio_syn_ack,1.589509
comportamiento,iat_medio,0.004725
concentracion,clase_principal,Benign
concentracion,pct_registros_clase_principal,2.347551
concentracion,pct_registros_top5,23.37134
concentracion,pct_volumen_top5,42.212388
calidad,filas_duplicadas,204491
calidad,pct_filas_duplicadas,34.082572
calidad,pct_filas_unicas,65.917428
