posicion,Label,registros,pct_registros,volumen_bytes,pct_volumen,media_rate,media_tot_size,media_size_kb,media_iat,media_syn,media_ack,media_rst,media_total_flags,protocolos_distintos
1,DDoS-ICMP_Flood,92356,15.393,5610000.217274,7.108233,39957.267678,60.743213,0.05932,0.000108,0.00033,0.001629,0.000048,0.002606,4
2,DDoS-UDP_Flood,69419,11.570084,4218631.755967,5.345279,33345.35526,60.770564,0.059346,0.000063,0.000589,0.002523,0.000074,0.004228,4
3,DDoS-TCP_Flood,57687,9.614708,3631695.764818,4.601593,32271.151585,62.955185,0.06148,0.000061,0.000611,0.002596,0.000057,0.0043,2
4,DDoS-PSHACK_FLOOD,52521,8.75369,3175766.813312,4.023902,32611.295328,60.46661,0.059049,0.000056,0.000368,0.967409,0.031412,1.96475,2
5,DDoS-SYN_Flood,52065,8.677688,3247846.627701,4.115232,28803.489591,62.380613,0.060919,0.000071,0.98643,0.016452,0.008175,1.012184,2
6,DDoS-RSTFINFLOOD,51887,8.648021,3176899.847096,4.025337,33311.555872,61.227279,0.059792,0.000366,0.000336,0.00202,0.995544,1.994087,2
7,DDoS-SynonymousIP_Flood,46151,7.692,2804483.646316,3.553462,32035.141131,60.76756,0.059343,0.000062,0.996234,0.00156,0.000068,0.998458,2
8,DoS-UDP_Flood,39414,6.569142,3516835.74765,4.456058,20014.109743,89.228085,0.087137,0.060188,0.000858,0.005655,0.000136,0.008965,3
9,DoS-TCP_Flood,34265,5.710957,2162478.694512,2.74,25445.809057,63.110424,0.061631,0.000708,0.000799,0.009931,0.004834,0.017312,2
10,DoS-SYN_Flood,26023,4.337261,1625435.019685,2.059531,22568.571802,62.461477,0.060998,0.000124,0.953776,0.04241,0.034673,1.033366,3
11,Benign,14085,2.347551,8575966.255556,10.866303,2667.481157,608.872294,0.594602,0.009186,0.013681,0.803051,0.002229,0.993193,4
12,Mirai-greeth_flood,12719,2.119879,7433444.719667,9.418655,5576.009272,584.436254,0.570739,0.00049,0.001664,0.006918,0.000278,0.011434,5
13,Mirai-udpplain,11423,1.903875,6243729.96231,7.911209,6132.884517,546.592836,0.533782,0.000397,0.001662,0.006542,0.000318,0.011142,4
14,Mirai-greip_flood,9642,1.607035,5451961.856068,6.907988,5055.603642,565.438898,0.552186,0.000529,0.002416,0.013841,0.000385,0.02145,5
15,DDoS-ICMP_Fragmentation,5804,0.967354,5140472.465007,6.513311,2973.919964,885.677544,0.864919,0.000908,0.007705,0.033086,0.00101,0.05485,4
16,VulnerabilityScan,4790,0.798351,1230996.2,1.559752,3637.282604,256.992944,0.25097,0.015915,0.072881,0.6019,0.016514,0.950104,4
17,MITM-ArpSpoofing,3946,0.657681,2569340.3,3.25552,40212.344328,651.125266,0.635865,0.012584,0.008718,0.700735,0.001951,0.907687,4
18,DDoS-UDP_Fragmentation,3681,0.613513,3288974.846191,4.167344,2026.716545,893.500366,0.872559,0.003266,0.00516,0.022625,0.00096,0.037417,4
19,DDoS-ACK_Fragmentation,3657,0.609513,3234397.532745,4.098191,2670.335756,884.440124,0.863711,0.000747,0.004093,0.47882,0.031731,0.520965,2
20,DNS_Spoofing,2296,0.382675,919954.066667,1.165641,17465.666453,400.676858,0.391286,0.009312,0.01311,0.540767,0.003092,0.720427,4
21,Recon-HostDiscovery,1725,0.287506,261314.2,0.331102,5883.839809,151.486493,0.147936,0.015094,0.297623,0.475594,0.203884,1.104522,4
22,Recon-OSScan,1261,0.210171,395917.5,0.501653,30763.093499,313.971055,0.306612,0.008366,0.163204,0.674941,0.102696,1.128311,4
23,Recon-PortScan,1056,0.176004,220237.3,0.279055,34308.330629,208.558049,0.20367,0.025952,0.216477,0.604261,0.154545,1.149432,3
24,DoS-HTTP_Flood,921,0.153503,442761.88226,0.561008,6827.042073,480.740372,0.469473,0.001014,0.263438,0.677103,0.258252,1.396783,2
25,DDoS-HTTP_Flood,370,0.061668,73360.95,0.092953,3216.152516,198.272838,0.193626,0.001976,0.326189,0.736973,0.165027,1.438189,2
26,DDoS-SlowLoris,301,0.050168,86662.02,0.109806,1542.904925,287.913688,0.281166,0.003562,0.092425,0.822924,0.056877,1.284286,2
27,DictionaryBruteForce,169,0.028167,53336.8,0.067581,6106.943533,315.602367,0.308205,0.015187,0.038462,0.701775,0.007692,1.015976,2
28,BrowserHijacking,76,0.012667,42416.6,0.053745,20616.040655,558.113158,0.545032,0.015487,0.011842,0.784211,0.001316,1.085526,2
29,CommandInjection,70,0.011667,36071.2,0.045705,2273.076212,515.302857,0.503225,0.018682,0.017143,0.66,0.002857,0.847143,2
30,SqlInjection,68,0.011334,12193.4,0.01545,278.355025,179.314706,0.175112,0.01347,0.080882,0.604412,0.004412,0.955882,2
31,XSS,50,0.008334,16993.4,0.021532,6164.512102,339.868,0.331902,0.026164,0.028,0.636,0.0,0.894,3
32,Backdoor_Malware,42,0.007,12209.8,0.015471,464.97316,290.709524,0.283896,0.030224,0.035714,0.55,0.0,0.745238,2
33,Recon-PingSweep,30,0.005,6795.4,0.00861,372.273668,226.513333,0.221204,0.012683,0.06,0.526667,0.0,0.773333,3
34,Uploading_Attack,17,0.002833,2990.4,0.003789,1493.385475,175.905882,0.171783,0.026839,0.023529,0.429412,0.0,0.594118,2
