posicion,Label,registros,volumen_bytes,volumen_mb,pct_volumen,media_rate
1,Benign,14085,8575966.255556,8.178679,10.866303,2667.481157
2,Mirai-greeth_flood,12719,7433444.719667,7.089085,9.418655,5576.009272
3,Mirai-udpplain,11423,6243729.96231,5.954485,7.911209,6132.884517
4,DDoS-ICMP_Flood,92356,5610000.217274,5.350113,7.108233,39957.267678
5,Mirai-greip_flood,9642,5451961.856068,5.199396,6.907988,5055.603642
6,DDoS-ICMP_Fragmentation,5804,5140472.465007,4.902337,6.513311,2973.919964
7,DDoS-UDP_Flood,69419,4218631.755967,4.023201,5.345279,33345.35526
8,DDoS-TCP_Flood,57687,3631695.764818,3.463455,4.601593,32271.151585
9,DoS-UDP_Flood,39414,3516835.74765,3.353916,4.456058,20014.109743
10,DDoS-UDP_Fragmentation,3681,3288974.846191,3.136611,4.167344,2026.716545
