Label,Protocol Type,registros,pct_registros,volumen_bytes,media_tot_size,media_rate,media_iat
Backdoor_Malware,6,28,0.004667,10134.8,361.957143,673.427166,0.026105
Backdoor_Malware,17,14,0.002333,2075.0,148.214286,48.065148,0.038464
Benign,0,31,0.005167,4701.8,151.670968,221.481694,0.019105
Benign,1,3,0.0005,408.8,136.266667,128.237094,0.018639
Benign,6,12885,2.147547,8392353.255556,651.327377,2901.537006,0.00874
Benign,17,1166,0.194338,178502.4,153.089537,152.587589,0.013828
BrowserHijacking,6,67,0.011167,39705.2,592.614925,23350.552569,0.015639
BrowserHijacking,17,9,0.0015,2711.4,301.266667,259.118631,0.014353
CommandInjection,6,54,0.009,33903.5,627.842593,2927.71713,0.01549
CommandInjection,17,16,0.002667,2167.7,135.48125,63.663114,0.029455
DDoS-ACK_Fragmentation,6,3651,0.608513,3232336.642745,885.329127,2673.918135,0.000739
DDoS-ACK_Fragmentation,17,6,0.001,2060.89,343.481667,490.458619,0.005525
DDoS-HTTP_Flood,6,368,0.061335,73190.33,198.886766,3228.313834,0.001981
DDoS-HTTP_Flood,17,2,0.000333,170.62,85.31,978.470055,0.001031
DDoS-ICMP_Flood,0,6,0.001,711.74,118.623333,137.870432,0.020069
DDoS-ICMP_Flood,1,92253,15.375833,5565621.137274,60.329974,40001.479159,0.000047
DDoS-ICMP_Flood,6,68,0.011334,37150.13,546.325441,456.306877,0.077429
DDoS-ICMP_Flood,17,29,0.004833,6517.21,224.731379,175.887912,0.006978
DDoS-ICMP_Fragmentation,0,5,0.000833,1048.86,209.772,323.707547,0.003231
DDoS-ICMP_Fragmentation,1,5672,0.945354,5080372.205007,895.693266,3010.00049,0.000833
DDoS-ICMP_Fragmentation,6,102,0.017,52889.16,518.521176,1689.705505,0.003839
DDoS-ICMP_Fragmentation,17,25,0.004167,6162.24,246.4896,557.607682,0.005549
DDoS-PSHACK_FLOOD,6,52503,8.75069,3170470.503312,60.386464,32622.374966,0.000052
DDoS-PSHACK_FLOOD,17,18,0.003,5296.31,294.239444,293.836095,0.009412
DDoS-RSTFINFLOOD,6,51861,8.643687,3173804.017096,61.19828,33327.264771,0.000365
DDoS-RSTFINFLOOD,17,26,0.004333,3095.83,119.070385,1977.740511,0.002243
DDoS-SYN_Flood,6,52044,8.674188,3243137.957701,62.315309,28815.023981,0.000068
DDoS-SYN_Flood,17,21,0.0035,4708.67,224.222381,217.973886,0.007324
DDoS-SlowLoris,6,293,0.048834,78454.46,267.762662,1530.633883,0.003602
DDoS-SlowLoris,17,8,0.001333,8207.56,1025.945,1992.331845,0.002127
DDoS-SynonymousIP_Flood,6,46130,7.6885,2799391.926316,60.684846,32049.580208,0.000058
DDoS-SynonymousIP_Flood,17,21,0.0035,5091.72,242.462857,317.303358,0.008182
DDoS-TCP_Flood,6,57672,9.612208,3624400.714818,62.845067,32279.300089,0.00006
DDoS-TCP_Flood,17,15,0.0025,7295.05,486.336667,941.783895,0.00538
DDoS-UDP_Flood,0,1,0.000167,67.93,67.93,3390.048818,0.000295
